publishedRevision,publishedMicros,flutterRevision,flutterPresentedMicros,nativeCameraRevision,nativeRenderedRevision,nativeSurfaceRevision,nativeConsumedMicros,textureRequestedMicros
1,0,1,39907,1,1,0,495623683433,495623648899
2,40307,3,88616,3,3,2,495623727366,495623724110
3,43492,3,88627,3,3,2,495623727366,495623724110
4,89367,4,127501,4,4,3,495623772783,495623772223
5,128229,5,172082,5,5,5,495623811659,495623855689
6,174109,6,238654,6,6,5,495623857599,495623855689
7,239781,7,285916,7,7,6,495623923207,495623922284
8,286696,8,328523,8,8,7,495623970119,495623969450
9,329708,9,372012,9,9,8,495624013253,495624012071
10,372488,10,415931,10,10,9,495624055913,495624055629
11,416420,11,462481,11,11,10,495624099854,495624099474
12,463279,13,504697,13,13,11,495624155077,495624146090
13,471645,13,504709,13,13,11,495624155077,495624146090
14,505454,14,540818,14,14,13,495624188951,495624188238
15,541161,16,579394,16,16,14,495624225922,495624224414
16,542414,16,579408,16,16,14,495624225922,495624224414
17,581807,17,620934,17,17,16,495624265298,495624262945
18,621358,19,664919,19,19,17,495624306009,495624304546
19,622584,19,664931,19,19,17,495624306009,495624304546
20,665788,20,708217,20,20,19,495624349247,495624348518
21,708589,21,746239,21,21,20,495624391999,495624391822
22,747220,23,790314,23,23,21,495624435625,495624429823
23,752190,23,790327,23,23,21,495624435625,495624429823
24,790711,24,837461,24,24,23,495624474124,495624473857
25,838081,25,876931,25,25,24,495624521499,495624520966
26,877528,26,914098,26,26,25,495624560953,495624560444
27,914647,27,955190,27,27,26,495624598064,495624597605
28,955933,29,1000661,29,29,27,495624645148,495624638720
29,961716,29,1000674,29,29,27,495624645148,495624638720
30,1001934,30,1043147,30,30,29,495624685359,495624684221
31,1043867,31,1086438,31,31,30,495624727297,495624726693
32,1087357,33,1128436,33,33,33,495624811906,495624812164
33,1093633,33,1128448,33,33,33,495624811906,495624812164
34,1129309,34,1171512,34,34,33,495624812731,495624812164
35,1172128,35,1210963,35,35,34,495624855615,495624855116
36,1211712,37,1247210,37,37,37,495624896314,495624930763
37,1212877,37,1247223,37,37,37,495624896314,495624930763
38,1247894,38,1293181,38,38,37,495624931314,495624930763
39,1293740,39,1326390,39,39,38,495624977165,495624976687
40,1326989,40,1367079,40,40,39,495625010427,495625009958
41,1367765,41,1415484,41,41,40,495625051205,495625050632
42,1416103,43,1457515,43,43,43,495625140940,495625141112
43,1422588,43,1457528,43,43,43,495625140940,495625141112
44,1457973,44,1506782,44,44,43,495625141410,495625141112
45,1507406,46,1546769,46,46,46,495625230205,495625230447
46,1513194,46,1546783,46,46,46,495625230205,495625230447
47,1547579,47,1595015,47,47,46,495625230996,495625230447
48,1595543,48,1633106,48,48,47,495625278973,495625278613
49,1633734,49,1665954,49,49,49,495625317158,495625349536
50,1668255,50,1712573,50,50,49,495625351678,495625349536
51,1713185,51,1758902,51,51,50,495625396603,495625396126
